Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Other Requirements,Listing methodology,Notes,Min_Assess_Period_Yrs,Min_Num_Pts,Dec Use,DEC Use Description
Freshwater,Toxics,Zinc,ZINC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18,Aquatic Life,
Freshwater,Toxics,Zinc,ZINC,Total,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,Zinc,ZINC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Zinc,ZINC,Dissolved,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Irrigation
Marine,Toxics,Zinc,ZINC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Marine,Toxics,Zinc,ZINC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Marine,Toxics,Zinc,ZINC,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18,Aquatic Life,
Freshwater,Turbidity,Turbidity,TURBIDITY,,WATER RECREATION,CONTACT RECREATION,,2 years,20 days,Characterizes an annual period of concern of at least 3 weeks,Turbidity,"Years of assessment need not be consecutive but should be within a reasonably short timeframe (i.e., within 5 years if possible)",2,20,Primary Contact Recreation,
Freshwater,Toxics,Acenapthene,ACENAPHTHENE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,Acenapthene,ACENAPHTHENE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Acrolein,ACROLEIN,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,Acrolein,ACROLEIN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Alachor,ALACHLOR,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Aldicarb,ALDICARB,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Aldicarb Sulfone,ALDICARB SULFONE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Aldicarb Sulfoxide,ALDICARB SULFOXIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Aldrin,ALDRIN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Marine,Toxics,Aldrin,ALDRIN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Freshwater,Toxics,alpha-Endosulfan,.ALPHA-ENDOSULFAN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Freshwater,Toxics,alpha-Endosulfan,.ALPHA-ENDOSULFAN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Marine,Toxics,alpha-Endosulfan,.ALPHA-ENDOSULFAN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Marine,Toxics,alpha-Endosulfan,.ALPHA-ENDOSULFAN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18,Aquatic Life,
Freshwater,Toxics,alpha-Endosulfan,.ALPHA-ENDOSULFAN,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,alpha-Endosulfan,.ALPHA-ENDOSULFAN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Anthracene,ANTHRACENE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,Anthracene,ANTHRACENE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Asbestos,ASBESTOS,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Atrazine,ATRAZINE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Benzo(a)Pyrene,BENZO[A]PYRENE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Freshwater,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Marine,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Marine,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Freshwater,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,beta-Endosulfan,BETA-ENDOSULFAN-D4,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Bis(2-chloro-isoproply) Ether,BIS(2-CHLOROISOPROPYL) ETHER,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,Bis(2-chloro-isoproply) Ether,BIS(2-CHLOROISOPROPYL) ETHER,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Bis-chloromethyl Ether,BIS(CHLOROMETHYL) ETHER,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,Bis-chloromethyl Ether,BIS(CHLOROMETHYL) ETHER,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Bromate,BROMATE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Butylbenzyl Phthalate,BUTYL BENZYL PHTHALATE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,Butylbenzyl Phthalate,BUTYL BENZYL PHTHALATE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Carbofuran,CARBOFURAN,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Carbon Tetrachloride,CARBON TETRACHLORIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Chlordane,CHLORDANE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Chlordane,CHLORDANE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Freshwater,Toxics,Chlordane,CHLORDANE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Marine,Toxics,Chlordane,CHLORDANE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Marine,Toxics,Chlordane,CHLORDANE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Freshwater,Toxics,Chlorite,CHLORITE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,"Chloro-napthalene, 2-",2-CHLORONAPHTHALENE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,"Chloro-napthalene, 2-",2-CHLORONAPHTHALENE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,"Chlorophenol, 2-",CHLOROPHENOL,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,"Chlorophenol, 2-",CHLOROPHENOL,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Chloropyrifos,CHLORPYRIFOS,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Freshwater,Toxics,Chloropyrifos,CHLORPYRIFOS,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Marine,Toxics,Chloropyrifos,CHLORPYRIFOS,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Marine,Toxics,Chloropyrifos,CHLORPYRIFOS,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Freshwater,Toxics,Dalapon,DALAPON,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,"DDT, 4,4'-","P,P'-DDT",Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Freshwater,Toxics,"DDT, 4,4'-","P,P'-DDT",Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Marine,Toxics,"DDT, 4,4'-","P,P'-DDT",Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Marine,Toxics,"DDT, 4,4'-","P,P'-DDT",Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Freshwater,Toxics,Demeton,DEMETON,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Marine,Toxics,Demeton,DEMETON,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Freshwater,Toxics,Diazinon,DIAZINON,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Freshwater,Toxics,Diazinon,DIAZINON,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Marine,Toxics,Diazinon,DIAZINON,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Marine,Toxics,Diazinon,DIAZINON,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Freshwater,Toxics,Dibromo-chloropropane,DIBROMOCHLOROPROPANE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,"Dichloroethane 1,2-","1,2-DICHLOROETHANE",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,"Dichloroethylene 1,1-","1,1-DICHLOROETHYLENE",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,"Dichloroethylene cis-1,2-","CIS-1,2-DICHLOROETHYLENE",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,"Dichloroethylene trans-1,2-","TRANS-1,2-DICHLOROETHYLENE",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,"Dichloroethylene trans-1,2-","TRANS-1,2-DICHLOROETHYLENE",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,"Dichloroethylene trans-1,2-","TRANS-1,2-DICHLOROETHYLENE",Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,"Dichlorophenol 2, 4-","2,4-DICHLOROPHENOL",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,"Dichlorophenol 2, 4-","2,4-DICHLOROPHENOL",Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,"Dichlorophenoxy 2, 4-Acetic Acid (2,4-D)","2,4-D",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,"Dichloropropane 1, 2-","1,2-DICHLOROPROPANE",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Dieldrin,DIELDRIN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Freshwater,Toxics,Dieldrin,DIELDRIN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Marine,Toxics,Dieldrin,DIELDRIN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Marine,Toxics,Dieldrin,DIELDRIN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Freshwater,Toxics,Di(2-ethylhexyl Adipate,"2,4-DICHLOROPHENOL",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Di(2-ethylhexyl) Phthalate,DI(2-ETHYLHEXYL) PHTHALATE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Diethyl Phthalate,DIETHYL PHTHALATE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,Diethyl Phthalate,DIETHYL PHTHALATE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,"Dimethylphenol 2, 4-","2,4-DIMETHYLPHENOL",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,"Dimethylphenol 2, 4-","2,4-DIMETHYLPHENOL",Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Dimethyl Phthalate,DIMETHYL PHTHALATE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,Dimethyl Phthalate,DIMETHYL PHTHALATE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Di-n-butyl Phthalate,DIBUTYL PHTHALATE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,Di-n-butyl Phthalate,DIBUTYL PHTHALATE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,"Dinitrophenol 2, 4-","2,4-DINITROPHENOL",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,"Dinitrophenol 2, 4-","2,4-DINITROPHENOL",Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Dinoseb,DINOSEB,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Dioxin,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN",Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Diquat,DIQUAT,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Endosulfan Sulfate,ENDOSULFAN SULFATE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Marine,Toxics,Endosulfan Sulfate,ENDOSULFAN SULFATE,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Aquatic Organisms Only
Freshwater,Toxics,Endothall,ENDOTHALL,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Toxics,Endrin,ENDRIN,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
