Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Other Requirements,Listing methodology,Notes,Min_Assess_Period_Yrs,Min_Num_Pts,Dec Use,DEC Use Description
Freshwater,pH,pH,PH,,WATER SUPPLY,INDUSTRIAL,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Industrial
Marine,pH,pH,PH,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life
Marine,pH,pH,PH,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife"
Marine,pH,pH,PH,,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Primary Contact Recreation,
Marine,pH,pH,PH,,WATER RECREATION,SECONDARY RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Secondary Contact Recreation,
Marine,pH,pH,PH,,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Aquaculture
Marine,pH,pH,PH,,WATER SUPPLY,INDUSTRIAL,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Industrial
Marine,pH,pH,PH,,WATER SUPPLY,SEAFOOD PROCESSING,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Seafood Processing
Freshwater,Sediment,Sediment  ,SEDIMENT,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife"
Freshwater,Sediment,Sediment  ,SEDIMENT,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Agriculture, Including Irrigation and Stock Watering"
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,,,,None,,NA,NA,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife"
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER RECREATION,CONTACT RECREATION,,,,,None,,NA,NA,Primary Contact Recreation,
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,AQUACULTURE,,,,,None,,NA,NA,Water Supply,Aquaculture
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,,,,None,,NA,NA,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,INDUSTRIAL,,,,,None,,NA,NA,Water Supply,Industrial
Freshwater,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,,,,None,,NA,NA,Water Supply,"Agriculture, Including Irrigation and Stock Watering"
Marine,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,SEAFOOD PROCESSING,,,,,None,,NA,NA,Water Supply,Seafood Processing
Marine,Temperature,Temperature,"TEMPERATURE, WATER",,WATER SUPPLY,INDUSTRIAL,,,,,None,,NA,NA,Water Supply,Industrial
Freshwater,Toxics,Alkalinity,ALKALINITY,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Freshwater,Toxics,Alkalinity,ALKALINITY,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18,Aquatic Life,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18,Aquatic Life,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Agriculture, Including Irrigation and Stock Watering"
Freshwater,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Freshwater,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Freshwater,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18,Aquatic Life,
Marine,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Acute,2 years,5,"15 results required for existing impaired, to determine attainment",CALM,,2,5,Aquatic Life,
Marine,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
Marine,Toxics,Ammonia,AMMONIA,Total,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,18,"18 results required for existing impaired, to determine attainment",CALM,,2,18,Aquatic Life,
Marine,Toxics,"Ammonia, un-ionized",AMMONIA,Dissolved,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,Chronic,2 years,10,,CALM,,2,10,Aquatic Life,
