OrganizationIdentifier,MonitoringLocationIdentifier,ML_ID,ML_Name,Latitude,Longitude,HUC10_ID,Name_AU,AUID_ATTNS,Type,NavStatus
KENAI_WQX,KENAI_WQX-10000424,10000424,KBL_t_79.5,60.489000000000019,-149.877,1902030212,Kenai River,AK_R_2030212_002,River,Navigable
KENAI_WQX,KENAI_WQX-10000425,10000425,KBL_m_82.0,60.492000000000033,-149.81087,1902030212,Kenai Lake,AK_L_2030212_001,Lake,Unknown
AKBLM_FDO,AKBLM_FDO-EC-ref-01,EC-ref-01,East Creek 01 reference - lower East Creek,67.3736,-151.1847,1909010115,East Creek,AK_R_9010115_003,River,Unknown
AKBLM_FDO,AKBLM_FDO-EC-ref-02,EC-ref-02,East Creek 02 reference - middle East Creek,67.3648,-151.14,1909010115,East Creek,AK_R_9010115_003,River,Unknown
AKBLM_FDO,AKBLM_FDO-EC-ref-03,EC-ref-03,East Creek 03 reference - upper East Creek,67.3587,-151.0729,1909010115,East Creek,AK_R_9010115_003,River,Unknown
AKBLM_FDO,AKBLM_FDO-GC-01,GC-01,Gold Creek 01 - Lower Gold,67.5115,-149.8225,1909010105,Gold Creek,AK_R_9010105_007,River,Unknown
AKBLM_FDO,AKBLM_FDO-GC-02,GC-02,Gold Creek 02 - Below Wicken,67.513,-149.7757,1909010105,Gold Creek,AK_R_9010105_007,River,Unknown
AKBLM_FDO,AKBLM_FDO-GC-03,GC-03,Gold Creek 03 - Above Wicken,67.5139,-149.7712,1909010105,Gold Creek,AK_R_9010105_007,River,Unknown
AKBLM_FDO,AKBLM_FDO-GC-04,GC-04,Gold Creek 04 - Below Even,67.5177,-149.7,1909010105,Gold Creek,AK_R_9010105_007,River,Unknown
AKBLM_FDO,AKBLM_FDO-GC-05,GC-05,Gold Creek 05 - Above Even,67.5181,-149.6927,1909010105,Gold Creek,AK_R_9010105_007,River,Unknown
AKBLM_FDO,AKBLM_FDO-GC-06,GC-06,Gold Creek 06 - Below Little Gold,67.499,-149.6546,1909010105,Gold Creek,AK_R_9010105_007,River,Unknown
AKBLM_FDO,AKBLM_FDO-GC-07,GC-07,Gold Creek 07 - Above Little Gold,67.4988,-149.655,1909010105,Gold Creek,AK_R_9010105_007,River,Unknown
AKBLM_FDO,AKBLM_FDO-GC-08,GC-08,Gold Creek 08 - 18 Pup,67.4823,-149.6767,1909010105,Gold Creek,AK_R_9010105_007,River,Unknown
AKDECWQ,AKDECWQ-Chena River Site 1,Chena River Site 1,Chena River Site 1,64.84041099999997,-147.817437,1908030609,Chena River,AK_R_8030609_003,River,Navigable
AKDECWQ,AKDECWQ-Chena River Site 3,Chena River Site 3,Chena River Site 3,64.84074400000004,-147.689939,1908030609,Chena River,AK_R_8030609_003,River,Navigable
AKDECWQ,AKDECWQ-Chena River Site 2,Chena River Site 2,Chena River Site 2,64.844511,-147.723961,1908030609,Chena River,AK_R_8030609_003,River,Navigable
AKDECWQ,AKDECWQ-KR RM 19 SC T CuZn,KR RM 19 SC T CuZn,Kenai River - River Mile 19 - Slikok Creek Tributary - Metals,60.401900000000005,-151.148,1902030218,Slikok Creek,AK_R_2030218_006,River,Unknown
AKDECWQ,AKDECWQ-AU03_HSLP,AU03_HSLP,Auke Bay 03,58.369029999999974,-134.6676,1901030107,Auke Bay,AK_M_1030107_002,Marine,Navigable
AKDECWQ,AKDECWQ-WH09_HSLP,WH09_HSLP,Whittier 09,60.81272000000001,-148.5533,1902020120,Blackstone Bay-Frontal Port Wells,AK_M_2020120_000,Marine,Navigable
AKDECWQ,AKDECWQ-SE07_HSLP,SE07_HSLP,Seward 07,60.09823,-149.4304,1902020205,Seward Harbor,AK_M_2020205_004,Marine,Navigable
AKDECWQ,AKDECWQ-KE10_HSLP,KE10_HSLP,Ketchikan 10,55.36804999999997,-131.7193,1901010204,Tongass Narrows combined,AK_M_1010204_011,Marine,Navigable
AKDECWQ,AKDECWQ-JU14_HSLP,JU14_HSLP,Juneau 14,58.31537999999999,-134.4533,1901030106,North Gastineau Channel,AK_M_1030106_003,Marine,Navigable
AKDECWQ,AKDECWQ-WH07_HSLP,WH07_HSLP,Whittier 07,60.783560000000016,-148.7061,1902020120,Passage Canal (Whittier Harbor),AK_M_2020120_011,Marine,Navigable
