ASSESSMENT_UNIT_ID,USE_NAME,USE_AGENCY_CODE,USE_TREND,USE_THREATENED,USE_ASMT_BASIS,USE_MONITORING_START,USE_MONITORING_END,USE_ASMT_DATE,USE_ASSESSOR_NAME,USE_COMMENT,USE_STATE_IR_CAT,USE_ORG_QUALIFIER_FLAG
AK_M_6020201_004,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2021-08-24,2021-08-24,,,,,
AK_M_6020201_004,MARINE / WATER SUPPLY,S,,,,2021-08-24,2021-08-24,,,,,
AK_R_2050512_016_002,"FRESHWATER / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2022-07-19,2022-09-09,,,,,
AK_R_2050512_016_002,FRESHWATER / WATER RECREATION / CONTACT RECREATION,S,,,,2022-07-19,2022-09-09,,,,,
AK_R_2050512_016_002,FRESHWATER / WATER RECREATION / SECONDARY RECREATION,S,,,,2022-07-19,2022-09-09,,,,,
AK_R_2050512_016_002,FRESHWATER / WATER SUPPLY,S,,,,2022-07-19,2022-09-09,,,,,
AK_R_3020311_001_002,"FRESHWATER / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2018-10-24,2018-10-24,,,,,
AK_R_3020311_001_002,FRESHWATER,S,,,,2018-10-24,2018-10-24,,,,,
AK_R_3020311_001_002,FRESHWATER / WATER SUPPLY,S,,,,2018-10-24,2018-10-24,,,,,
AK_R_9010501_004,"FRESHWATER / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2018-03-22,2019-09-09,,,,,
AK_R_9010501_004,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2018-03-22,2019-09-09,,,,,
AK_R_9010501_004,"FRESHWATER / WATER SUPPLY / DRINKING, CULINARY, AND FOOD PROCESSING",S,,,,2018-03-22,2019-09-09,,,,,
AK_R_9010501_004,FRESHWATER,S,,,,2018-03-22,2019-09-09,,,,,
AK_R_9010501_004,FRESHWATER / WATER RECREATION / CONTACT RECREATION,S,,,,2018-03-22,2019-09-09,,,,,
AK_R_9010501_004,FRESHWATER / WATER RECREATION / SECONDARY RECREATION,S,,,,2018-03-22,2019-09-09,,,,,
AK_R_9010501_004,FRESHWATER / WATER SUPPLY,S,,,,2018-03-22,2019-09-09,,,,,
AK_R_9010501_004,"FRESHWATER / WATER SUPPLY / AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",S,,,,2018-03-22,2019-09-09,,,,,
