ASSESSMENT_UNIT_ID,USE_NAME,USE_AGENCY_CODE,USE_TREND,USE_THREATENED,USE_ASMT_BASIS,USE_MONITORING_START,USE_MONITORING_END,USE_ASMT_DATE,USE_ASSESSOR_NAME,USE_COMMENT,USE_STATE_IR_CAT,USE_ORG_QUALIFIER_FLAG
AK_B_1010208_001,MARINE / WATER SUPPLY / INDUSTRIAL,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010208_001,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010208_002,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2018-06-20,2021-09-01,,,,,
AK_B_1010208_002,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2018-06-20,2021-09-01,,,,,
AK_B_1010208_002,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2018-06-20,2021-09-01,,,,,
AK_B_1010208_002,MARINE / WATER SUPPLY / AQUACULTURE,S,,,,2018-06-20,2021-09-01,,,,,
AK_B_1010208_002,MARINE / WATER SUPPLY / INDUSTRIAL,S,,,,2018-06-20,2021-09-01,,,,,
AK_B_1010208_002,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,S,,,,2018-06-20,2021-09-01,,,,,
AK_B_2030218_002,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2018-06-14,2022-08-09,,,,,
AK_B_2030218_002,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2018-06-14,2022-08-09,,,,,
AK_B_2030218_002,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2018-06-14,2022-08-09,,,,,
AK_B_2030218_002,MARINE / WATER SUPPLY / AQUACULTURE,S,,,,2018-06-14,2022-08-09,,,,,
AK_B_2030218_002,MARINE / WATER SUPPLY / INDUSTRIAL,S,,,,2018-06-14,2022-08-09,,,,,
AK_B_2030218_002,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,S,,,,2018-06-14,2022-08-09,,,,,
AK_B_2030218_002,MARINE / WATER SUPPLY,S,,,,2018-06-14,2022-08-09,,,,,
AK_B_2030218_003,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2018-06-14,2022-08-09,,,,,
AK_B_2030218_003,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2018-06-14,2022-08-09,,,,,
AK_B_2030218_003,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2018-06-14,2022-08-09,,,,,
AK_B_2030218_003,MARINE / WATER SUPPLY / AQUACULTURE,S,,,,2018-06-14,2022-08-09,,,,,
AK_B_2030218_003,MARINE / WATER SUPPLY / INDUSTRIAL,S,,,,2018-06-14,2022-08-09,,,,,
AK_B_2030218_003,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,S,,,,2018-06-14,2022-08-09,,,,,
AK_B_2030218_003,MARINE / WATER SUPPLY,S,,,,2018-06-14,2022-08-09,,,,,
AK_B_3030311_001,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2022-05-25,2022-08-09,,,,,
AK_B_3030311_001,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2022-05-25,2022-08-09,,,,,
AK_B_3030311_001,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2022-05-25,2022-08-09,,,,,
AK_B_3030311_001,MARINE / WATER SUPPLY,S,,,,2022-05-25,2022-08-09,,,,,
AK_B_3030311_002,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2022-05-25,2022-08-09,,,,,
AK_B_3030311_002,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2022-05-25,2022-08-09,,,,,
AK_B_3030311_002,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2022-05-25,2022-08-09,,,,,
AK_B_3030311_002,MARINE / WATER SUPPLY,S,,,,2022-05-25,2022-08-09,,,,,
AK_B_3030311_003,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2022-05-25,2022-08-09,,,,,
AK_B_3030311_003,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2022-05-25,2022-08-09,,,,,
AK_B_3030311_003,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2022-05-25,2022-08-09,,,,,
AK_B_3030311_003,MARINE / WATER SUPPLY,S,,,,2022-05-25,2022-08-09,,,,,
AK_L_2040106_003,FRESHWATER / WATER RECREATION / SECONDARY RECREATION,S,,,,2020-05-19,2021-05-25,,,,,
AK_L_2040106_003,FRESHWATER / WATER SUPPLY,S,,,,2020-05-19,2021-05-25,,,,,
AK_L_2040106_003,FRESHWATER / WATER SUPPLY / AQUACULTURE,S,,,,2020-05-19,2021-05-25,,,,,
AK_L_2040106_003,FRESHWATER / WATER SUPPLY / INDUSTRIAL,S,,,,2020-05-19,2021-05-25,,,,,
AK_L_2040108_055,FRESHWATER / WATER RECREATION / SECONDARY RECREATION,S,,,,2020-05-18,2021-05-25,,,,,
AK_L_2040108_055,FRESHWATER / WATER SUPPLY,S,,,,2020-05-18,2021-05-25,,,,,
AK_L_2040108_055,FRESHWATER / WATER SUPPLY / AQUACULTURE,S,,,,2020-05-18,2021-05-25,,,,,
AK_L_2040108_055,FRESHWATER / WATER SUPPLY / INDUSTRIAL,S,,,,2020-05-18,2021-05-25,,,,,
AK_L_2040108_060,FRESHWATER / WATER RECREATION / SECONDARY RECREATION,S,,,,2020-05-18,2021-05-24,,,,,
AK_L_2040108_060,FRESHWATER / WATER SUPPLY,S,,,,2020-05-18,2021-05-24,,,,,
AK_L_2040108_060,FRESHWATER / WATER SUPPLY / AQUACULTURE,S,,,,2020-05-18,2021-05-24,,,,,
AK_L_2040108_060,FRESHWATER / WATER SUPPLY / INDUSTRIAL,S,,,,2020-05-18,2021-05-24,,,,,
AK_L_2040108_063,FRESHWATER / WATER RECREATION / CONTACT RECREATION,S,,,,2020-05-18,2021-05-25,,,,,
AK_L_2040108_063,FRESHWATER / WATER RECREATION / SECONDARY RECREATION,S,,,,2020-05-18,2021-05-25,,,,,
AK_L_2040108_063,FRESHWATER / WATER SUPPLY,S,,,,2020-05-18,2021-05-25,,,,,
AK_L_2040108_063,FRESHWATER / WATER SUPPLY / AQUACULTURE,S,,,,2020-05-18,2021-05-25,,,,,
