Active_AUID,Retired_AUID,Historical_AUID
AK_R_1010313_006,AK-10103-023_01,
AK_R_1010402_001,AK-10101-001_00,
AK_R_1010504_005,,
AK_R_1010601_009,AK-10101-002,
AK_R_1020408_002,AK-10204-001_00,
AK_R_1020408_006,AK-10204-004,
AK_R_1020408_007,AK-10204-003,
AK_R_1020408_008,AK-10204-002_00,
AK_R_1020709_011,,
AK_R_1021005_003,AK-10202-001_00,
AK_R_1021010_009,AK-10202-002,
AK_R_1021102_001,AK-10203-006_00,
AK_R_1021102_004,AK-10203-004_00,
AK_R_1021210_001,AK-10203-001_00,
AK_R_1021211_002,AK-10203-007_00,
AK_R_1021211_003,AK-10203-009,AK-10203-008_00
AK_R_1021212_004_001,AK-10203-002_00,
AK_R_1021212_005,AK-10203-003_00,
AK_R_1021212_006,AK-10203-005_00,
AK_R_1021212_007,AK-10203-008,
AK_R_1030102_002,AK-10301-009_00,
AK_R_1030106_014,AK-10301-004_00,
AK_R_1030106_017_001,AK-10301-001_00,
AK_R_1030106_021,AK-10301-006_00,
AK_R_1030106_022,AK-10301-002_00,
AK_R_1030106_029,AK-10301-011_00,
AK_R_1030106_036,AK-10301-005_00,
AK_R_1030106_037,AK-10301-017_00,AK-10301-017
AK_R_1030106_038,AK-10301-014_00,
AK_R_1030107_001,AK-10301-007_00,
AK_R_1030107_002,AK-10301-008_00,
AK_R_1030107_012,AK-10301-012_00,
AK_R_1030107_014,AK-10301-010_00,
AK_R_1030214_001,AK-10302-002,
AK_R_1030214_002,AK-10302-001,
AK_R_1030301_003,AK-10303-009,
AK_R_1030302_007,AK-10303-004_00,AK-10303-601R_00
AK_R_1030310_002,AK-10303-003_00,
AK_R_1030312_006,AK-10303-001_00,
AK_R_1030315_009,AK-10303-002_00,
AK_R_1030315_010,AK-10301-003_00,
AK_R_1030407_006,AK-10301-018,AK-10301-018_00
AK_R_1040202_001,AK-10402-001,
AK_R_1040203_011,AK-10402-002,
AK_R_1040517_008,AK-10405-001,
AK_R_1040518_008,AK-10401-002_00,
AK_R_1040521_005,AK-10401-001_00,
AK_R_2010102_004,AK-20101-001,
AK_R_2010102_005,AK-20101-004,
AK_R_2010104_009,AK-20101-002,
AK_R_2010105_002,AK-20101-009,
AK_R_2010115_002,AK-20101-005,
AK_R_2010118_007,AK-20101-007,
AK_R_2010118_008,AK-20101-008,
AK_R_2010206_002,AK-20102-001,AK-20102-001_00
AK_R_2010221_001,AK-20102-002,
AK_R_2010224_004,AK-20102-005,
AK_R_2010229_010,AK-20102-003,
AK_R_2010229_013,AK-20102-004,
AK_R_2010312_002,AK-20103-013,
AK_R_2010312_003,AK-20103-027,
AK_R_2010314_002,AK-20103-005,
AK_R_2010314_003,AK-20103-030,
AK_R_2010314_004,AK-20103-031,
AK_R_2010315_003,AK-20103-041,
AK_R_2010315_004,AK-20103-035,
AK_R_2010315_007,AK-20103-040,
AK_R_2010316_001,AK-20103-039,
AK_R_2010316_006,AK-20103-033,
AK_R_2010316_012,AK-20103-034,
AK_R_2010316_013,AK-20103-032,
AK_R_2010317_003,AK-20103-006,
AK_R_2010318_004,AK-20103-007,
AK_R_2010319_005,AK-20103-042,
AK_R_2010320_003,AK-20103-022,
AK_R_2010321_006,AK-20103-008,
AK_R_2010321_008,AK-20103-015,
AK_R_2010321_011,AK-20103-025,
AK_R_2010321_013,AK-20103-001,
AK_R_2010322_004,AK-20103-028,
AK_R_2010322_005,AK-20103-038,
AK_R_2010322_012,AK-20103-010,
AK_R_2010322_013,AK-20103-004,
AK_R_2010322_019,AK-20103-019,
AK_R_2010322_021,AK-20103-044,
AK_R_2010322_022,AK-20103-003,
AK_R_2010323_001,AK-20103-009,
AK_R_2010323_007,AK-20103-023,
AK_R_2010323_009,AK-20103-014,
AK_R_2010323_010,AK-20103-029,
AK_R_2010324_001,AK-20103-011,
AK_R_2010324_002,AK-20103-002,
AK_R_2010324_003,AK-20103-037,
AK_R_2010325_001,AK-20103-016,
AK_R_2010325_003,AK-20103-036,
AK_R_2010325_006,AK-20103-020,
AK_R_2010326_012,AK-20103-012,
AK_R_2010407_001,AK-20104-003,
AK_R_2010407_012,AK-20104-006,
AK_R_2010409_011,AK-20104-004,
AK_R_2010409_012,AK-20104-005,
AK_R_2010412_005,AK-20104-001_00,
AK_R_2010416_004,AK-20104-002,
AK_R_2010416_009,AK-20201-003,
AK_R_2020111_001,AK-20201-001,
AK_R_2020111_005,AK-20201-002,
AK_R_2020120_003,AK-20202-001,AK-20202-001_00
AK_R_2020205_005,AK-20202-002,
AK_R_2020205_019,AK-20202-004,
AK_R_2020205_023,AK-20202-003,
AK_R_2030104_003,AK-20301-015,AK-20301-015_00
AK_R_2030105_001,AK-20301-005_00,
AK_R_2030106_003,AK-20301-002_00,
AK_R_2030107_001,AK-20301-004_00,
AK_R_2030107_003,AK-20301-007_00,AK-20301-027_00
AK_R_2030107_008,AK-20301-016,AK-20301-016_00
AK_R_2030107_009,AK-20301-022,
AK_R_2030107_010,AK-20301-025,AK-20301-025_00
AK_R_2030107_011,AK-20301-030,
AK_R_2030108_002,AK-20301-006,AK-20301-006_00
AK_R_2030108_006,AK-20301-008_00,
AK_R_2030108_008,AK-20302-101,
AK_R_2030108_009,AK-20301-012_00,
AK_R_2030108_010,AK-20301-009_00,
AK_R_2030108_014,AK-20301-010_00,
AK_R_2030108_016,AK-20301-023,AK-20301-023_00
AK_R_2030108_017,AK-20301-003_00,
AK_R_2030108_021,AK-20301-021,AK-20301-021_00
AK_R_2030108_023,AK-20301-020,AK-20301-020_00
AK_R_2030108_024,AK-20301-026,AK-20301-026_00
AK_R_2030108_025,AK-20301-024,AK-20301-024_00
AK_R_2030108_026,AK-20301-001_00,
